160 4 4
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
30.0 30.0 30.0 30.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
60.0 60.0 60.0 60.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
90.0 90.0 90.0 90.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
120.0 120.0 120.0 120.0
